policy,group,group_value,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,avg_exit_day
fixed_hold_1d,event_type,down_shock,21,1.0,0.25547829072792827,0.1992943085988498,8013.7190476190535,168288.10000000012,3335.6000000000045,28002.200000000008,inf,0.4580163422131449,3623.2500000000027,1.0
fixed_hold_1d,event_type,gap_event,23,0.34782608695652173,0.07691225231350406,-0.0786967342708656,1361.6521739130474,31318.000000000087,-44957.599999999984,41141.30000000002,1.2821840566638718,4.330407433424856,-27474.549999999992,1.0
fixed_hold_1d,event_type,noise_theta_decay,348,0.2471264367816092,-0.03736179950200538,-0.04311094271577435,-1397.0181034482716,-486162.29999999853,-87463.19999999998,11195.500000000002,0.2250147094432641,-0.07124822307283,-11499.888888888883,1.0
fixed_hold_1d,event_type,trend_vol_expansion,71,0.30985915492957744,-0.024700437460041254,-0.0298927713608693,-910.3464788732354,-64634.59999999971,-13537.199999999993,5452.100000000006,0.36765166279242817,-0.3252731509129803,-7783.424999999993,1.0
fixed_hold_1d,event_type,up_shock,7,1.0,0.23246464820993223,0.1846552553219036,6548.7571428571455,45841.30000000002,1739.6999999999987,13359.400000000016,inf,0.9083599287105734,1739.6999999999987,1.0
fixed_hold_3d,event_type,down_shock,21,0.6190476190476191,0.17335691731470132,0.0892764620347314,5113.057142857147,107374.20000000007,-7907.9000000000015,29502.3,5.580693326962632,0.841541077838065,-6325.85,3.0
fixed_hold_3d,event_type,gap_event,23,0.34782608695652173,0.13887883869802273,-0.1477982129936562,1800.3173913043524,41407.300000000105,-84279.99999999999,102295.70000000003,1.2342301522114447,4.790747042188202,-47588.249999999985,3.0
fixed_hold_3d,event_type,noise_theta_decay,348,0.27586206896551724,-0.047863686108710925,-0.08958540016204175,-1817.434195402295,-632467.0999999987,-90149.69999999998,50600.60000000001,0.4362407235604989,-0.18913062829671343,-15189.85555555555,3.0
fixed_hold_3d,event_type,trend_vol_expansion,71,0.4507042253521127,0.10899074586811518,-0.012110357304387,2609.711267605638,185289.50000000032,-21039.499999999993,58378.80000000001,2.1961971299971363,1.117631598120777,-12368.099999999995,3.0
fixed_hold_3d,event_type,up_shock,7,0.8571428571428571,0.9249894504722824,0.0920793182762362,19111.342857142863,133779.40000000005,-4508.899999999992,96999.40000000001,30.67007474106773,1.0312462157850908,-4508.899999999992,3.0
