scope,holding_days,dte_bucket,event_type,post_warmup_only,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,top10_capture,flat_ratio
holding_dte,1,10-14,all,False,44,0.29545454545454547,-0.031620663930411894,-0.0442928833818141,-1087.5545454545431,-47852.3999999999,-19087.7,13842.800000000005,0.4767164152990174,-0.7786213439660307,-12110.366666666663,0.10638297872340426,0.9063829787234042
holding_dte,1,15-21,all,False,130,0.34615384615384615,-0.0019628283473450896,-0.037185383589725396,-159.6007692307659,-20748.09999999957,-44957.59999999999,41141.30000000001,0.9109682563113213,-6.420149314877159,-11924.85714285714,0.3404255319148936,0.7234042553191489
holding_dte,1,22-30,all,False,192,0.3072916666666667,-0.008686855359246381,-0.02807763986270885,-396.5234374999963,-76132.49999999929,-11215.799999999996,20944.5,0.7127542652496918,-0.919871277049889,-6046.669999999995,0.3617021276595745,0.5914893617021277
holding_dte,1,31-45,all,False,77,0.2857142857142857,-0.02230206995211969,-0.0223818126844431,-1793.3935064935017,-138091.29999999964,-87463.19999999998,13359.400000000016,0.31182857322261515,-0.2783317993240713,-29026.499999999996,0.10638297872340426,0.8361702127659575
holding_dte,1,7-10,all,False,27,0.18518518518518517,-0.03565727137084005,-0.0847650914194768,-834.2666666666647,-22525.199999999946,-7416.99999999999,13632.200000000006,0.5523680068679361,-1.2339779447019372,-7016.299999999996,0.0851063829787234,0.9425531914893617
holding_dte_event_type,1,10-14,down_shock,False,3,1.0,0.2563776055307821,0.2944193319118695,7643.933333333337,22931.80000000001,3910.900000000004,13842.800000000005,inf,1.0000000000000002,3910.900000000004,0.06382978723404255,0.9936170212765958
holding_dte_event_type,1,10-14,gap_event,False,3,0.0,-0.18614642167137044,-0.1765375673466796,-5716.7666666666655,-17150.299999999996,-9991.5,-2709.099999999995,0.0,1.0,-9991.5,0.0,0.9936170212765958
holding_dte_event_type,1,10-14,noise_theta_decay,False,35,0.22857142857142856,-0.048448569827900655,-0.0451947382826964,-1484.9942857142835,-51974.79999999992,-19087.7,11195.500000000002,0.2247681380343121,-0.2762877394429613,-11958.099999999999,0.02127659574468085,0.925531914893617
holding_dte_event_type,1,10-14,trend_vol_expansion,False,2,0.5,0.013264453363096645,0.013264453363096645,-2060.149999999994,-4120.299999999988,-7251.899999999989,3131.6000000000004,0.43183165791034145,1.0,-7251.899999999989,0.02127659574468085,0.9957446808510638
holding_dte_event_type,1,10-14,up_shock,False,1,1.0,0.0671682727339714,0.0671682727339714,2461.2000000000025,2461.2000000000025,2461.2000000000025,2461.2000000000025,inf,1.0,2461.2000000000025,0.0,0.997872340425532
holding_dte_event_type,1,15-21,down_shock,False,8,1.0,0.2977494231307226,0.1610125536794074,9315.287500000002,74522.30000000002,3335.600000000005,28002.200000000004,inf,0.8428041002491871,3335.600000000005,0.14893617021276595,0.9829787234042553
holding_dte_event_type,1,15-21,gap_event,False,7,0.2857142857142857,0.17391265592347402,-0.0867737813663919,3011.900000000005,21083.300000000036,-44957.59999999999,41141.30000000001,1.3526059993845418,3.3540290182276924,-44957.59999999999,0.0425531914893617,0.9851063829787234
holding_dte_event_type,1,15-21,noise_theta_decay,False,86,0.3023255813953488,-0.03915287638940645,-0.04759934266018135,-1153.646511627904,-99213.59999999974,-10347.899999999992,3318.300000000002,0.25648389069413396,-0.13611944330212844,-6604.559999999995,0.0851063829787234,0.8170212765957447
holding_dte_event_type,1,15-21,trend_vol_expansion,False,27,0.25925925925925924,-0.032000396680142984,-0.0382373845060411,-924.4333333333298,-24959.699999999903,-5493.6,4666.600000000006,0.37303568916665125,-0.5803795718698571,-5172.299999999997,0.0425531914893617,0.9425531914893617
holding_dte_event_type,1,15-21,up_shock,False,2,1.0,0.1883032090939276,0.1883032090939276,3909.7999999999997,7819.599999999999,1739.6999999999991,6079.900000000001,inf,1.0,1739.6999999999991,0.02127659574468085,0.9957446808510638
holding_dte_event_type,1,22-30,down_shock,False,8,1.0,0.2116237841617915,0.2091197712442548,6784.962500000007,54279.700000000055,4242.100000000008,9981.000000000004,inf,0.7196631521544885,4242.100000000008,0.1702127659574468,0.9829787234042553
