strategy,holding_days,event_type,dte_bucket,data_source,trade_count,premium_cost,win_rate,avg_return,median_return,max_loss,max_win,top_5_wins_contribution,event_type_capture
5% OTM strangle,3,trend_vol_expansion,22-30,provider_chain,36,111.27583333333331,0.2222222222222222,-0.08732286322901954,-0.11987020536181943,-5763.1,4433.499999999999,-0.22783113047208906,0.12949640287769784
5% OTM strangle,3,trend_vol_expansion,31-45,provider_chain,12,127.08224999999999,0.6666666666666666,0.020290299447151695,0.06508869706223708,-3741.3999999999974,2685.9000000000037,4.061949818763803,0.04316546762589928
5% OTM strangle,3,trend_vol_expansion,7-10,provider_chain,2,19.497,0.0,-0.37241190182366646,-0.37241190182366646,-605.6999999999998,-547.4999999999998,1.0,0.007194244604316547
5% OTM strangle,3,up_shock,10-14,provider_chain,3,77.117,0.6666666666666666,0.07229851104156403,0.0681761261718618,-339.59999999999934,1007.2000000000003,1.0,0.036585365853658534
5% OTM strangle,3,up_shock,15-21,provider_chain,8,46.858124999999994,1.0,0.5393606679118871,0.6473327805417357,194.70000000000027,5655.9,0.8778015055255992,0.0975609756097561
5% OTM strangle,3,up_shock,22-30,provider_chain,13,85.48684615384614,1.0,3.232643271828981,0.5200175592625113,113.2000000000005,86671.3,0.8721942667757938,0.15853658536585366
5% OTM strangle,3,up_shock,31-45,provider_chain,2,122.91149999999999,1.0,0.344147107124556,0.344147107124556,2795.8000000000043,5894.7000000000035,1.0,0.024390243902439025
5% OTM strangle,3,up_shock,7-10,provider_chain,1,31.958999999999993,1.0,0.8680183985731723,0.8680183985731723,2774.100000000001,2774.100000000001,1.0,0.012195121951219513
5% OTM strangle,5,down_shock,10-14,provider_chain,2,78.0885,1.0,4.382014601153033,4.382014601153033,25847.300000000003,41398.59999999999,1.0,0.013605442176870748
5% OTM strangle,5,down_shock,15-21,provider_chain,18,55.08516666666665,0.9444444444444444,2.55658508998558,0.9000940359470297,-82.19999999999956,59522.99999999999,0.7452447621722182,0.12244897959183673
5% OTM strangle,5,down_shock,22-30,provider_chain,27,97.351,0.9259259259259259,0.7486108791493493,0.40305867114133515,-678.3999999999963,38199.3,0.5912029692964458,0.1836734693877551
5% OTM strangle,5,down_shock,31-45,provider_chain,18,104.48649999999999,0.9444444444444444,0.48437626313180915,0.24931544944363795,-187.0999999999988,38775.299999999996,0.7815984495286291,0.12244897959183673
5% OTM strangle,5,down_shock,7-10,provider_chain,4,34.2705,1.0,3.107481791079943,2.364339425185899,126.50000000000023,56084.40000000001,1.0,0.027210884353741496
5% OTM strangle,5,gap_event,10-14,provider_chain,3,66.93299999999999,0.0,-0.811140873074283,-0.8301098059995877,-8608.199999999997,-2819.7999999999993,1.0,0.047619047619047616
5% OTM strangle,5,gap_event,15-21,provider_chain,6,125.625,0.0,-0.444942223414921,-0.4324530052921927,-10542.499999999998,-1875.8999999999987,0.6590218122541917,0.09523809523809523
5% OTM strangle,5,gap_event,22-30,provider_chain,7,145.4665714285714,0.2857142857142857,0.31169571920663347,-0.34887525562372185,-10157.299999999996,37630.200000000004,2.311336677762668,0.1111111111111111
5% OTM strangle,5,gap_event,31-45,provider_chain,3,163.547,0.3333333333333333,-0.06412179830732512,-0.26391953277092806,-7677.399999999997,11048.500000000002,1.0,0.047619047619047616
5% OTM strangle,5,gap_event,7-10,provider_chain,2,107.13300000000001,0.5,0.795220307713639,0.795220307713639,-11890.7,10025.800000000003,1.0,0.031746031746031744
5% OTM strangle,5,noise_theta_decay,10-14,provider_chain,28,35.878499999999995,0.0,-0.6875691823732895,-0.7233533642364223,-7696.799999999999,-351.89999999999964,0.051393078529519014,0.03369434416365824
5% OTM strangle,5,noise_theta_decay,15-21,provider_chain,46,56.725695652173904,0.021739130434782608,-0.5099309028241391,-0.545338835657591,-6402.199999999999,1401.600000000002,0.009654098091989279,0.05535499398315283
5% OTM strangle,5,noise_theta_decay,22-30,provider_chain,88,93.96521590909089,0.07954545454545454,-0.33061311241644764,-0.367745206819619,-11985.899999999998,6208.100000000002,-0.04935077272479573,0.10589651022864019
5% OTM strangle,5,noise_theta_decay,31-45,provider_chain,30,134.98489999999998,0.16666666666666666,-0.24870306991797225,-0.26780060450615106,-15797.299999999992,634.3000000000004,-0.019392104515049458,0.036101083032490974
