signal_date,entry_date,exit_date,holding_days,strategy,moneyness,call_code,put_code,spot_at_signal,call_strike,put_strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,net_pnl,return_on_premium,entry_mode_used
2024-01-05,2024-01-08,2024-01-10,3,3% OTM strangle,0.03,MO2401-C-5900.CFE,MO2401-P-5500.CFE,5675.8091,5900.0,5500.0,14,14.0,31.0,4.0,93.0,45.224999999999994,96.515,5129.000000000001,1.1341072415699285,next_open
2024-01-05,2024-01-08,2024-01-12,5,3% OTM strangle,0.03,MO2401-C-5900.CFE,MO2401-P-5500.CFE,5675.8091,5900.0,5500.0,14,14.0,31.0,3.4,45.6,45.224999999999994,48.755,353.0000000000008,0.07805417357656183,next_open
2024-01-08,2024-01-09,2024-01-09,1,3% OTM strangle,0.03,MO2401-C-5800.CFE,MO2401-P-5300.CFE,5543.5745,5800.0,5300.0,11,18.0,35.0,9.8,22.0,53.26499999999999,31.641000000000002,-2162.399999999999,-0.40597014925373126,next_open
2024-01-08,2024-01-09,2024-01-11,3,3% OTM strangle,0.03,MO2401-C-5800.CFE,MO2401-P-5300.CFE,5543.5745,5800.0,5300.0,11,18.0,35.0,16.0,7.6,53.26499999999999,23.482000000000003,-2978.2999999999993,-0.5591476579367314,next_open
2024-01-08,2024-01-09,2024-01-15,5,3% OTM strangle,0.03,MO2401-C-5800.CFE,MO2401-P-5300.CFE,5543.5745,5800.0,5300.0,11,18.0,35.0,3.0,4.8,53.26499999999999,7.761,-4550.399999999999,-0.8542945649112925,next_open
2024-01-09,2024-01-10,2024-01-10,1,3% OTM strangle,0.03,MO2401-C-5800.CFE,MO2401-P-5300.CFE,5553.3035,5800.0,5300.0,10,10.0,23.0,8.2,27.2,33.165,35.223,205.79999999999998,0.06205336951605608,next_open
2024-01-09,2024-01-10,2024-01-12,3,3% OTM strangle,0.03,MO2401-C-5800.CFE,MO2401-P-5300.CFE,5553.3035,5800.0,5300.0,10,10.0,23.0,8.0,8.4,33.165,16.317999999999998,-1684.7,-0.5079752751394543,next_open
2024-01-09,2024-01-10,2024-01-16,5,3% OTM strangle,0.03,MO2401-C-5800.CFE,MO2401-P-5300.CFE,5553.3035,5800.0,5300.0,10,10.0,23.0,2.0,4.0,33.165,5.97,-2719.5,-0.8199909543193126,next_open
2024-01-10,2024-01-11,2024-01-11,1,3% OTM strangle,0.03,MO2402-C-5700.CFE,MO2402-P-5300.CFE,5512.0686,5700.0,5300.0,29,66.0,99.8,91.8,58.2,166.629,149.25,-1737.8999999999992,-0.10429757125110271,next_open
2024-01-10,2024-01-11,2024-01-15,3,3% OTM strangle,0.03,MO2402-C-5700.CFE,MO2402-P-5300.CFE,5512.0686,5700.0,5300.0,29,66.0,99.8,56.0,64.0,166.629,119.4,-4722.899999999999,-0.28343805700088215,next_open
2024-01-10,2024-01-11,2024-01-17,5,3% OTM strangle,0.03,MO2402-C-5700.CFE,MO2402-P-5300.CFE,5512.0686,5700.0,5300.0,29,66.0,99.8,26.6,169.4,166.629,195.02,2839.100000000002,0.17038450689855922,next_open
2024-01-11,2024-01-12,2024-01-12,1,3% OTM strangle,0.03,MO2402-C-5800.CFE,MO2402-P-5400.CFE,5611.1149,5800.0,5400.0,28,58.8,85.2,44.0,90.0,144.71999999999997,133.33,-1138.999999999996,-0.07870370370370344,next_open
2024-01-11,2024-01-12,2024-01-16,3,3% OTM strangle,0.03,MO2402-C-5800.CFE,MO2402-P-5400.CFE,5611.1149,5800.0,5400.0,28,58.8,85.2,34.2,103.8,144.71999999999997,137.31,-740.9999999999968,-0.05120232172470958,next_open
2024-01-11,2024-01-12,2024-01-18,5,3% OTM strangle,0.03,MO2402-C-5800.CFE,MO2402-P-5400.CFE,5611.1149,5800.0,5400.0,28,58.8,85.2,21.6,225.8,144.71999999999997,246.163,10144.300000000005,0.7009604754007744,next_open
2024-01-12,2024-01-15,2024-01-15,1,3% OTM strangle,0.03,MO2402-C-5800.CFE,MO2402-P-5400.CFE,5574.4926,5800.0,5400.0,27,42.2,100.0,37.8,92.6,142.91099999999997,129.748,-1316.2999999999984,-0.0921062759339728,next_open
