policy,group,group_value,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,avg_exit_day
fixed_hold_1d,dte_bucket,10-14,44,0.29545454545454547,-0.031620663930411894,-0.0442928833818141,-1087.5545454545427,-47852.39999999988,-19087.699999999997,13842.800000000003,0.4767164152990173,-0.7786213439660309,-12110.366666666661,1.0
fixed_hold_1d,dte_bucket,15-21,130,0.34615384615384615,-0.0019628283473450896,-0.037185383589725396,-159.6007692307656,-20748.099999999526,-44957.599999999984,41141.30000000002,0.9109682563113215,-6.420149314877173,-11924.85714285714,1.0
fixed_hold_1d,dte_bucket,22-30,192,0.3072916666666667,-0.008686855359246381,-0.02807763986270885,-396.5234374999957,-76132.49999999917,-11215.799999999994,20944.500000000004,0.7127542652496921,-0.9198712770498905,-6046.669999999993,1.0
fixed_hold_1d,dte_bucket,31-45,77,0.2857142857142857,-0.02230206995211969,-0.0223818126844431,-1793.393506493501,-138091.29999999958,-87463.19999999998,13359.400000000016,0.3118285732226151,-0.27833179932407137,-29026.499999999993,1.0
fixed_hold_1d,dte_bucket,7-10,27,0.18518518518518517,-0.03565727137084005,-0.0847650914194768,-834.2666666666638,-22525.199999999924,-7416.99999999999,13632.20000000001,0.5523680068679363,-1.2339779447019386,-7016.299999999996,1.0
fixed_hold_3d,dte_bucket,10-14,44,0.22727272727272727,-0.0799135450387472,-0.1578700027398635,-2063.1068181818155,-90776.69999999988,-19167.29999999999,29502.3,0.4676640168139375,-0.7934084407122104,-13974.333333333328,3.0
fixed_hold_3d,dte_bucket,15-21,130,0.34615384615384615,0.03711173876846545,-0.0694717346771221,296.2623076923115,38514.10000000049,-84279.99999999999,58378.80000000001,1.090621710283282,4.751737675292885,-20107.785714285706,3.0
fixed_hold_3d,dte_bucket,22-30,192,0.3072916666666667,0.04125169109229422,-0.07454161000318149,531.0031250000047,101952.60000000091,-14776.399999999992,102295.70000000003,1.1943142378482863,3.3260936945207584,-10316.279999999993,3.0
fixed_hold_3d,dte_bucket,31-45,77,0.4025974025974026,-0.028547565159751064,-0.0462193980592088,-2295.2870129870084,-176737.09999999966,-90149.69999999998,10192.300000000008,0.3360385865812533,-0.2133609751433066,-32203.89999999999,3.0
fixed_hold_3d,dte_bucket,7-10,27,0.37037037037037035,-0.09774360492004767,-0.2402495913716787,-1391.4666666666653,-37569.59999999996,-11314.499999999996,15856.900000000007,0.6050065973116615,-1.3746220348366778,-11226.399999999996,3.0
fixed_hold_5d,dte_bucket,10-14,44,0.20454545454545456,-0.09742417937113865,-0.2663049900150358,-2067.17727272727,-90955.79999999989,-20319.6,50735.6,0.6515546681418304,-1.6768188504746282,-15421.299999999994,5.0
