signal_date,forward_straddle_return_1d,forward_straddle_return_3d,forward_straddle_return_5d,forward_straddle_net_pnl_1d,forward_straddle_net_pnl_3d,forward_straddle_net_pnl_5d,is_top_10pct_straddle_return_1d,is_top_10pct_straddle_return_3d,is_top_10pct_straddle_return_5d,is_top_5pct_straddle_return_1d,is_top_5pct_straddle_return_3d,is_top_5pct_straddle_return_5d,future_abs_return_1d,future_abs_return_3d,future_abs_return_5d,future_direction_1d,future_direction_3d,future_direction_5d,future_gap_return_next_open,future_intraday_range_1d,future_rv_5d
2024-01-02,-0.0657722028157085,0.379750185243993,1.1254472319254794,-1242.6999999999964,7175.000000000003,21264.2,False,True,True,False,False,True,0.0052447334466612094,0.030563272272592812,0.051487412936922605,-1.0,-1.0,-1.0,-0.0027663865510623165,0.013164388791049086,0.1641538574563972
2024-01-03,0.0311461560123909,1.214224475108733,1.038630745642855,497.7000000000004,19402.7,16596.8,False,True,True,False,True,True,0.007044470895715249,0.048156977829902026,0.053566604970691545,-1.0,-1.0,-1.0,-0.0015634500488217462,0.01068409782721269,0.16037456715467133
2024-01-04,0.1667173116453661,0.8591592933535919,0.4228259898114222,2798.100000000002,14419.700000000006,7096.500000000004,True,True,True,False,True,False,0.01853814847980262,0.03972183716263611,0.029725080280348704,-1.0,-1.0,-1.0,-0.0005635122368252699,0.025589114156529424,0.26319409199522426
2024-01-05,0.6654600355450943,0.4726546479074163,0.0834953072154165,11195.500000000002,7951.8,1404.7000000000023,True,True,False,True,True,False,0.02329792945291287,0.02884883848542419,0.017850582747753196,-1.0,-1.0,-1.0,-0.0020008601064472886,0.021805082623134187,0.2393719430114304
2024-01-08,-0.1889096790101967,-0.1687045820460379,-0.452538087018745,-3907.1999999999975,-3489.299999999997,-9359.8,False,False,False,False,False,False,0.0017550048258574424,0.012183546915442323,0.0028504171811889467,1.0,1.0,1.0,0.001733376181739965,0.017066168113800018,0.16352086791064738
2024-01-09,-0.0222617482535508,-0.275673446240301,-0.340308818601294,-431.7999999999984,-5347.099999999998,-6600.799999999998,False,False,False,False,False,False,0.007425291990614258,0.003815584723579235,0.002490301493516367,-1.0,1.0,-1.0,-0.0022760146280498272,0.021612923275034168,0.16546721062444883
2024-01-10,-0.0616371220343279,-0.1754713072301635,0.0817324193204272,-1993.399999999997,-5674.899999999997,2643.3000000000047,False,False,False,False,False,False,0.017968988992626,0.00858251292445833,0.02230505621791412,1.0,1.0,-1.0,-0.0007738655502218528,0.023941087987704224,0.2554409340855694
2024-01-11,-0.0586952132219804,-0.0494731929176471,0.38791405580216,-1773.199999999997,-1494.599999999997,11718.999999999996,False,False,True,False,False,False,0.006526742127487051,0.01276765870540264,0.042360743673240386,-1.0,-1.0,-1.0,-0.0017852601806460644,0.01289162810532507,0.16914246081557163
2024-01-12,-0.0600965058349592,0.4054505024501043,0.4732157147186724,-1764.7999999999968,11906.500000000004,13896.500000000004,False,True,True,False,False,False,0.00271174456308354,0.03325343009693815,0.047987578277527754,-1.0,-1.0,-1.0,-0.0029320157317993534,0.01571838663508185,0.1696871099248019
2024-01-15,0.0367502112081105,0.5138133714591049,1.919856450692835,1017.900000000003,14231.499999999996,53175.8,False,True,True,False,True,True,0.003579880187992268,0.033448376220640674,0.10046854179317977,-1.0,-1.0,-1.0,-0.0007870847375677226,0.01883760693272496,0.3741349157300436
2024-01-16,0.2959847078827755,0.3719155525425739,0.9926317778197622,7989.900000000006,10039.600000000002,26795.400000000005,True,True,True,True,False,True,0.027142016965112203,0.04196930896382389,0.08301195956489804,-1.0,-1.0,-1.0,-0.0017293157846880458,0.02612169671584308,0.4485473501868233
