iv_minus_rv_bucket,trades,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl
<-10vol,216,0.26851851851851855,-0.056248885343873845,-0.05573187576724624,-2017.0300925925894,-435678.4999999993
-10--5vol,348,0.3879310344827586,0.026569358057263733,-0.04697850397060965,239.31379310345108,83281.20000000097
-5-0vol,668,0.26646706586826346,-0.012418312549089034,-0.060976711045945944,-953.4529940119729,-636906.5999999979
0-5vol,432,0.3449074074074074,0.011068239765911824,-0.04867383473303151,472.00486111111417,203906.10000000132
5-10vol,120,0.20833333333333334,-0.0472516419065355,-0.08312902448659086,-1938.4383333333276,-232612.5999999993
>10vol,16,0.0625,-0.3089751907825454,-0.2872066705101103,-26470.50624999999,-423528.09999999986
